acc,auc,f1,fold_accs,fold_thr,best_params,best_val_auc,config,groups,model,n_features,runtime_min
0.5003861003861004,0.5211024042818335,0.5721842627286753,"[0.5057915057915058, 0.49935649935649934, 0.51994851994852, 0.5032175032175032, 0.47361647361647363]","[0.49999999999999994, 0.45999999999999996, 0.51, 0.51, 0.51]","{'hidden': 32, 'layers': 2, 'dropout': 0.20279903622647819, 'lr': 0.0013631418961655099, 'weight_decay': 0.0051338399051783215, 'batch_size': 64, 'pool': 'mean'}",0.5454602542452793,+C,['C'],BiGRU,41,8.975870450337728
0.5003861003861004,0.522637018354813,0.5924837287423893,"[0.5045045045045045, 0.4967824967824968, 0.5302445302445302, 0.49935649935649934, 0.47104247104247104]","[0.45999999999999996, 0.48, 0.49, 0.47, 0.49]","{'hidden': 32, 'layers': 2, 'dropout': 0.21277485531632942, 'lr': 0.0011264157172133705, 'weight_decay': 5.579814299086883e-05, 'batch_size': 32}",0.5410024154424483,+C,['C'],BiRNN+Attn,41,13.478230138619741
0.5055341055341055,0.52871093480254,0.5867928586792859,"[0.5019305019305019, 0.5032175032175032, 0.5186615186615187, 0.5096525096525096, 0.4942084942084942]","[0.49999999999999994, 0.47, 0.47, 0.49999999999999994, 0.51]","{'hidden': 32, 'layers': 2, 'dropout': 0.20283357522291956, 'lr': 0.0010320793743973972, 'weight_decay': 6.650808473663016e-05, 'batch_size': 32, 'pool': 'mean'}",0.542708140480296,+C,['C'],BiRNN+Skip,41,14.379934767882029
0.5064102564102564,0.5185979788535171,0.5542949756888168,"[0.49615384615384617, 0.5269230769230769, 0.4935897435897436, 0.5205128205128206, 0.4948717948717949]","[0.47, 0.49, 0.47, 0.49, 0.49]",{'C': 0.01},0.5215512521582761,+AB,"['A', 'B']",ARX,51,2.9605228900909424
0.5056410256410256,0.5304425075877983,0.5586080586080586,"[0.5115384615384615, 0.5089743589743589, 0.5307692307692308, 0.5089743589743589, 0.46794871794871795]","[0.51, 0.52, 0.5599999999999999, 0.47, 0.43999999999999995]","{'hidden': 48, 'layers': 2, 'dropout': 0.47147773758828215, 'lr': 0.0020188944710511515, 'weight_decay': 0.003378615556378216, 'batch_size': 64, 'pool': 'mean'}",0.5476339674789288,+AB,"['A', 'B']",BiGRU,51,9.361976043383281
0.5146153846153846,0.5273436130859313,0.5779264214046823,"[0.5115384615384615, 0.5089743589743589, 0.5256410256410257, 0.5115384615384615, 0.5153846153846153]","[0.51, 0.47, 0.49, 0.5299999999999999, 0.5299999999999999]","{'hidden': 32, 'layers': 2, 'dropout': 0.3711188720930705, 'lr': 0.0015145270343269069, 'weight_decay': 0.0009589539171042836, 'batch_size': 32}",0.5535145043351263,+AB,"['A', 'B']",BiRNN+Attn,51,13.071194720268249
0.5053846153846154,0.5284890629500664,0.5500349895031491,"[0.5089743589743589, 0.4987179487179487, 0.5115384615384615, 0.48333333333333334, 0.5243589743589744]","[0.51, 0.47, 0.49999999999999994, 0.48, 0.48]","{'hidden': 16, 'layers': 2, 'dropout': 0.37124118898729647, 'lr': 0.0010856808379147646, 'weight_decay': 0.0002647573637067346, 'batch_size': 32, 'pool': 'mean'}",0.5508768165499449,+AB,"['A', 'B']",BiRNN+Skip,51,13.185236541430156
0.5132561132561133,0.5259338623298724,0.5677714285714286,"[0.49163449163449163, 0.5341055341055341, 0.5045045045045045, 0.5238095238095238, 0.5122265122265123]","[0.48, 0.45999999999999996, 0.47, 0.48, 0.51]",{'C': 0.01},0.5279149994700958,+AC,"['A', 'C']",ARX,54,3.910287352403005
0.5184041184041184,0.5328859721719066,0.5537801097066539,"[0.5444015444015444, 0.5135135135135135, 0.51994851994852, 0.5057915057915058, 0.5083655083655083]","[0.48, 0.47, 0.5299999999999999, 0.52, 0.49999999999999994]","{'hidden': 48, 'layers': 1, 'dropout': 0.3665827879213267, 'lr': 0.0016417043683755036, 'weight_decay': 0.00013315964930418498, 'batch_size': 32, 'pool': 'max'}",0.551844939362765,+AC,"['A', 'C']",BiGRU,54,12.591559930642445
0.512998712998713,0.5318824174341508,0.544973544973545,"[0.5019305019305019, 0.5405405405405406, 0.5276705276705277, 0.5276705276705277, 0.4671814671814672]","[0.45999999999999996, 0.45999999999999996, 0.49999999999999994, 0.51, 0.47]","{'hidden': 32, 'layers': 2, 'dropout': 0.41223876094107686, 'lr': 0.0015839503203003973, 'weight_decay': 0.0003254971661768274, 'batch_size': 32}",0.5549453630410782,+AC,"['A', 'C']",BiRNN+Attn,54,15.196776135762532
