number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden,params_layers,params_lr,params_weight_decay,state
13,0.5501122434789518,2026-04-22 06:02:46.617677,2026-04-22 06:03:22.462563,0 days 00:00:35.844886,32,0.516587732899981,48,2,0.0003240645898079073,6.636214180603749e-05,PRUNED
14,0.5522132574730095,2026-04-22 06:03:22.462596,2026-04-22 06:03:51.976462,0 days 00:00:29.513866,32,0.5170568439631311,48,2,0.0029596284206078833,4.528212375043773e-05,COMPLETE
15,0.5450399973511434,2026-04-22 06:03:51.976515,2026-04-22 06:04:17.441919,0 days 00:00:25.465404,32,0.519677774739408,48,2,0.0029203231535569704,0.0003099246938221804,COMPLETE
16,0.532393501642838,2026-04-22 06:04:17.441971,2026-04-22 06:04:56.331795,0 days 00:00:38.889824,32,0.5232264137788657,48,2,0.00035591626255817807,3.776414319785229e-05,COMPLETE
17,0.5325030392408028,2026-04-22 06:04:56.331849,2026-04-22 06:05:28.994244,0 days 00:00:32.662395,32,0.5539475462824011,48,2,0.0009407303588796738,0.00024110273355015916,COMPLETE
18,0.538361669991103,2026-04-22 06:05:28.994311,2026-04-22 06:06:14.073360,0 days 00:00:45.079049,32,0.4886575157929862,48,2,0.0004185455071463233,4.1673205881379916e-05,COMPLETE
19,0.5251206865725013,2026-04-22 06:06:14.073426,2026-04-22 06:06:55.079914,0 days 00:00:41.006488,64,0.5939776415707321,48,2,0.0001175224172869713,1.0468883788129737e-05,PRUNED
20,0.504721923829734,2026-04-22 06:06:55.079947,2026-04-22 06:07:27.892878,0 days 00:00:32.812931,32,0.4849037813838515,16,2,0.00020655958307775506,0.0001603806939657143,PRUNED
21,0.5497852882049751,2026-04-22 06:07:27.892922,2026-04-22 06:08:02.962049,0 days 00:00:35.069127,32,0.28525027831759187,32,2,0.002770490599585263,5.890074892732704e-05,COMPLETE
22,0.5615286303646755,2026-04-22 06:08:02.962102,2026-04-22 06:08:43.152948,0 days 00:00:40.190846,32,0.295078795064439,32,2,0.00137924495618849,2.9653265241519604e-05,PRUNED
23,0.5506632493779133,2026-04-22 06:08:43.152992,2026-04-22 06:09:04.875499,0 days 00:00:21.722507,32,0.3780600585636563,48,2,0.002974982756000814,8.053359803572326e-05,COMPLETE
24,0.5413047654935367,2026-04-22 06:09:04.875552,2026-04-22 06:09:24.359199,0 days 00:00:19.483647,32,0.39129103743997945,48,2,0.00278564905429817,0.000514776889473107,COMPLETE
25,0.5410986047794588,2026-04-22 06:09:24.359270,2026-04-22 06:09:48.922022,0 days 00:00:24.562752,32,0.3005827517809849,32,2,0.001460176917615608,6.149241457388293e-05,COMPLETE
26,0.5444081918181622,2026-04-22 06:09:48.922075,2026-04-22 06:10:24.133498,0 days 00:00:35.211423,32,0.35951794807188897,24,2,0.0028813145792571577,3.09045996971412e-05,COMPLETE
27,0.5292803857605344,2026-04-22 06:10:24.133563,2026-04-22 06:10:50.131167,0 days 00:00:25.997604,32,0.4124689051264062,16,2,0.0017459643203165693,0.0002179344522645395,COMPLETE
28,0.5414020398107537,2026-04-22 06:10:50.131235,2026-04-22 06:10:57.353321,0 days 00:00:07.222086,128,0.2879113654600731,48,2,0.0022898063159314036,6.957957825544516e-05,COMPLETE
29,0.5267506383974189,2026-04-22 06:10:57.353375,2026-04-22 06:11:13.248727,0 days 00:00:15.895352,64,0.417857851503829,24,1,0.0011883834866827832,0.0008348153002665932,COMPLETE
